cohort_month,dimension,first_value,m,metric,cohort_size,retention
2025-06-01,category,pom bg,12,same,1,0.00%
2024-10-01,category,pom hl,0,any,3,100.00%
2024-10-01,category,pom hl,0,same,3,100.00%
2024-10-01,category,pom hl,1,any,3,66.67%
2024-10-01,category,pom hl,1,same,3,66.67%
2024-10-01,category,pom hl,2,any,3,66.67%
2024-10-01,category,pom hl,2,same,3,66.67%
2024-10-01,category,pom hl,3,any,3,66.67%
2024-10-01,category,pom hl,3,same,3,66.67%
2024-10-01,category,pom hl,4,any,3,33.33%
2024-10-01,category,pom hl,4,same,3,33.33%
2024-10-01,category,pom hl,5,any,3,0.00%
2024-10-01,category,pom hl,5,same,3,0.00%
2024-10-01,category,pom hl,6,any,3,0.00%
2024-10-01,category,pom hl,6,same,3,0.00%
2024-10-01,category,pom hl,7,any,3,33.33%
2024-10-01,category,pom hl,7,same,3,33.33%
2024-10-01,category,pom hl,8,any,3,33.33%
2024-10-01,category,pom hl,8,same,3,33.33%
2024-10-01,category,pom hl,9,any,3,33.33%
2024-10-01,category,pom hl,9,same,3,33.33%
2024-10-01,category,pom hl,10,any,3,0.00%
2024-10-01,category,pom hl,10,same,3,0.00%
2024-10-01,category,pom hl,11,any,3,0.00%
2024-10-01,category,pom hl,11,same,3,0.00%
2024-10-01,category,pom hl,12,any,3,0.00%
2024-10-01,category,pom hl,12,same,3,0.00%
2024-11-01,category,pom hl,0,any,3,100.00%
2024-11-01,category,pom hl,0,same,3,100.00%
2024-11-01,category,pom hl,1,any,3,66.67%
2024-11-01,category,pom hl,1,same,3,66.67%
2024-11-01,category,pom hl,2,any,3,33.33%
2024-11-01,category,pom hl,2,same,3,33.33%
2024-11-01,category,pom hl,3,any,3,33.33%
2024-11-01,category,pom hl,3,same,3,33.33%
2024-11-01,category,pom hl,4,any,3,33.33%
2024-11-01,category,pom hl,4,same,3,33.33%
2024-11-01,category,pom hl,5,any,3,33.33%
2024-11-01,category,pom hl,5,same,3,33.33%
2024-11-01,category,pom hl,6,any,3,33.33%
2024-11-01,category,pom hl,6,same,3,33.33%
2024-11-01,category,pom hl,7,any,3,0.00%
2024-11-01,category,pom hl,7,same,3,0.00%
2024-11-01,category,pom hl,8,any,3,33.33%
2024-11-01,category,pom hl,8,same,3,33.33%
2024-11-01,category,pom hl,9,any,3,0.00%
2024-11-01,category,pom hl,9,same,3,0.00%
2024-11-01,category,pom hl,10,any,3,0.00%
2024-11-01,category,pom hl,10,same,3,0.00%
2024-11-01,category,pom hl,11,any,3,0.00%
2024-11-01,category,pom hl,11,same,3,0.00%
2024-11-01,category,pom hl,12,any,3,0.00%
2024-11-01,category,pom hl,12,same,3,0.00%
2024-12-01,category,pom hl,0,any,14,100.00%
2024-12-01,category,pom hl,0,same,14,100.00%
2024-12-01,category,pom hl,1,any,14,71.43%
2024-12-01,category,pom hl,1,same,14,71.43%
2024-12-01,category,pom hl,2,any,14,71.43%
2024-12-01,category,pom hl,2,same,14,71.43%
2024-12-01,category,pom hl,3,any,14,71.43%
2024-12-01,category,pom hl,3,same,14,71.43%
2024-12-01,category,pom hl,4,any,14,71.43%
2024-12-01,category,pom hl,4,same,14,71.43%
2024-12-01,category,pom hl,5,any,14,64.29%
2024-12-01,category,pom hl,5,same,14,64.29%
2024-12-01,category,pom hl,6,any,14,50.00%
2024-12-01,category,pom hl,6,same,14,50.00%
2024-12-01,category,pom hl,7,any,14,35.71%
2024-12-01,category,pom hl,7,same,14,35.71%
2024-12-01,category,pom hl,8,any,14,21.43%
2024-12-01,category,pom hl,8,same,14,21.43%
2024-12-01,category,pom hl,9,any,14,0.00%
2024-12-01,category,pom hl,9,same,14,0.00%
2024-12-01,category,pom hl,10,any,14,0.00%
2024-12-01,category,pom hl,10,same,14,0.00%
2024-12-01,category,pom hl,11,any,14,0.00%
2024-12-01,category,pom hl,11,same,14,0.00%
2024-12-01,category,pom hl,12,any,14,0.00%
2024-12-01,category,pom hl,12,same,14,0.00%
2025-01-01,category,pom hl,0,any,5,100.00%
