cohort_type,cohort_month,dimension,first_value,m,metric,measure,cohort_size,ltv_per_user
purchase,2024-11-01,category,otc sh,12,same,revenue,1,
purchase,2025-01-01,category,otc sh,0,any,revenue,1,280
purchase,2025-01-01,category,otc sh,1,any,revenue,1,280
purchase,2025-01-01,category,otc sh,2,any,revenue,1,280
purchase,2025-01-01,category,otc sh,3,any,revenue,1,280
purchase,2025-01-01,category,otc sh,4,any,revenue,1,280
purchase,2025-01-01,category,otc sh,5,any,revenue,1,280
purchase,2025-01-01,category,otc sh,6,any,revenue,1,280
purchase,2025-01-01,category,otc sh,7,any,revenue,1,280
purchase,2025-01-01,category,otc sh,8,any,revenue,1,
purchase,2025-01-01,category,otc sh,9,any,revenue,1,
purchase,2025-01-01,category,otc sh,10,any,revenue,1,
purchase,2025-01-01,category,otc sh,11,any,revenue,1,
purchase,2025-01-01,category,otc sh,12,any,revenue,1,
purchase,2025-01-01,category,otc sh,0,same,revenue,1,280
purchase,2025-01-01,category,otc sh,1,same,revenue,1,280
purchase,2025-01-01,category,otc sh,2,same,revenue,1,280
purchase,2025-01-01,category,otc sh,3,same,revenue,1,280
purchase,2025-01-01,category,otc sh,4,same,revenue,1,280
purchase,2025-01-01,category,otc sh,5,same,revenue,1,280
purchase,2025-01-01,category,otc sh,6,same,revenue,1,280
purchase,2025-01-01,category,otc sh,7,same,revenue,1,280
purchase,2025-01-01,category,otc sh,8,same,revenue,1,
purchase,2025-01-01,category,otc sh,9,same,revenue,1,
purchase,2025-01-01,category,otc sh,10,same,revenue,1,
purchase,2025-01-01,category,otc sh,11,same,revenue,1,
purchase,2025-01-01,category,otc sh,12,same,revenue,1,
purchase,2025-04-01,category,otc sh,0,any,revenue,1,409
purchase,2025-04-01,category,otc sh,1,any,revenue,1,409
purchase,2025-04-01,category,otc sh,2,any,revenue,1,409
purchase,2025-04-01,category,otc sh,3,any,revenue,1,409
purchase,2025-04-01,category,otc sh,4,any,revenue,1,409
purchase,2025-04-01,category,otc sh,5,any,revenue,1,
purchase,2025-04-01,category,otc sh,6,any,revenue,1,
purchase,2025-04-01,category,otc sh,7,any,revenue,1,
purchase,2025-04-01,category,otc sh,8,any,revenue,1,
purchase,2025-04-01,category,otc sh,9,any,revenue,1,
purchase,2025-04-01,category,otc sh,10,any,revenue,1,
purchase,2025-04-01,category,otc sh,11,any,revenue,1,
purchase,2025-04-01,category,otc sh,12,any,revenue,1,
purchase,2025-04-01,category,otc sh,0,same,revenue,1,204.5
purchase,2025-04-01,category,otc sh,1,same,revenue,1,204.5
purchase,2025-04-01,category,otc sh,2,same,revenue,1,204.5
purchase,2025-04-01,category,otc sh,3,same,revenue,1,204.5
purchase,2025-04-01,category,otc sh,4,same,revenue,1,204.5
purchase,2025-04-01,category,otc sh,5,same,revenue,1,
purchase,2025-04-01,category,otc sh,6,same,revenue,1,
purchase,2025-04-01,category,otc sh,7,same,revenue,1,
purchase,2025-04-01,category,otc sh,8,same,revenue,1,
purchase,2025-04-01,category,otc sh,9,same,revenue,1,
purchase,2025-04-01,category,otc sh,10,same,revenue,1,
purchase,2025-04-01,category,otc sh,11,same,revenue,1,
purchase,2025-04-01,category,otc sh,12,same,revenue,1,
purchase,2025-06-01,category,otc sh,0,any,revenue,6,182.3333333
purchase,2025-06-01,category,otc sh,1,any,revenue,6,182.3333333
purchase,2025-06-01,category,otc sh,2,any,revenue,6,182.3333333
purchase,2025-06-01,category,otc sh,3,any,revenue,6,
purchase,2025-06-01,category,otc sh,4,any,revenue,6,
purchase,2025-06-01,category,otc sh,5,any,revenue,6,
purchase,2025-06-01,category,otc sh,6,any,revenue,6,
purchase,2025-06-01,category,otc sh,7,any,revenue,6,
purchase,2025-06-01,category,otc sh,8,any,revenue,6,
purchase,2025-06-01,category,otc sh,9,any,revenue,6,
purchase,2025-06-01,category,otc sh,10,any,revenue,6,
purchase,2025-06-01,category,otc sh,11,any,revenue,6,
purchase,2025-06-01,category,otc sh,12,any,revenue,6,
purchase,2025-06-01,category,otc sh,0,same,revenue,6,182.3333333
purchase,2025-06-01,category,otc sh,1,same,revenue,6,182.3333333
purchase,2025-06-01,category,otc sh,2,same,revenue,6,182.3333333
purchase,2025-06-01,category,otc sh,3,same,revenue,6,
